,Plot_ID,lon,lat,climID
1,831501106,17.01354671,63.96688569,12031
2,831501306,16.99420804,63.96009663,12030
3,831502106,16.70531241,64.23757812,12427
4,831502306,16.72701976,64.23474702,12427
5,831504106,16.86033888,64.10338753,12295
6,831504306,16.84495897,64.09370878,12162
7,831505106,18.77530324,64.2209966,12447
8,831505306,18.76201084,64.20610001,12447
9,831506106,18.61876611,64.34648261,12579
10,831506306,18.61440641,64.34358936,12579
11,831508106,15.71051348,64.51993561,12816
12,831508306,15.71447805,64.50263284,12816
13,831509106,15.61167858,64.6520759,12948
14,831509306,15.63069229,64.63605001,12948
15,831511106,16.44004563,64.51061687,12823
16,831511306,16.44067146,64.5054949,12823
17,831512106,16.30707536,64.64529397,12955
18,831512306,16.31279813,64.63246326,12955
19,831513106,16.2154741,64.78744043,13087
20,831514106,17.80216613,64.50606643,12837
21,831514306,17.81191821,64.49674755,12704
22,831516106,17.56858872,64.77033107,13100
23,831516306,17.57114278,64.75980851,13100
24,831517106,18.52269327,64.48559995,12711
25,831517306,18.54394208,64.4786925,12711
26,831518106,18.38823871,64.62780244,12975
27,831518306,18.40664343,64.61911425,12976
28,831519106,18.28833435,64.76399124,13107
29,831519306,18.2948788,64.75778269,13107
30,831520106,15.29588248,64.92480487,13343
31,831521306,15.20716542,65.04165546,13476
32,831524106,16.02602793,64.92168405,13351
33,831524306,16.05113941,64.90846107,13351
34,831525106,15.8753846,65.05065161,13482
35,831525306,15.88527058,65.04762324,13482
36,831526106,17.41456584,64.90533607,13365
37,831526306,17.42868879,64.9008867,13365
38,831527306,17.30708782,65.03162977,13497
39,831531106,18.0235143,65.03869712,13504
40,831531306,18.02390116,65.02935824,13504
41,831532106,19.30602317,65.15464606,13650
42,831532306,19.30057151,65.13157506,13650
43,831533106,19.22328096,65.28210161,13782
44,831537106,16.74279597,65.59135928,14156
45,831538306,16.5926567,65.70677334,14420
46,831539106,16.91424512,65.45094946,14025
47,831539306,16.91591803,65.43724059,14025
48,831540106,18.93300973,65.56303278,14178
49,831540306,18.90955672,65.55292777,14178
50,831541106,18.75894513,65.69346555,14309
51,831542106,19.07485819,65.42195654,14046
52,831542306,19.07505804,65.41255956,14046
53,831546306,16.48191233,65.85103094,14552
54,831549106,17.90612486,65.84989232,14567
55,831549306,17.90345992,65.82805094,14567
56,831550306,17.79590174,65.97316703,14698
57,831551306,17.66772586,66.10913642,14963
58,831553106,18.51489746,65.97489031,14706
59,831553306,18.53956366,65.9634727,14706
60,831554106,18.41995132,66.10298151,14971
61,831555106,20.08253755,65.80415467,14588
62,831555306,20.08418883,65.78700846,14455
63,831556106,19.99535408,65.94159902,14720
64,831556306,19.98774403,65.92519798,14720
65,831557106,19.87655863,66.08285962,14852
66,831557306,19.86667948,66.05861128,14852
67,831564106,18.28371984,66.24226741,15102
68,831564306,18.28888497,66.22876678,15102
69,831565106,18.1274025,66.37689862,15234
70,831565306,18.14186597,66.36941426,15234
71,831566106,19.70699806,66.21960282,15117
72,831566306,19.70410923,66.20375715,15117
73,831567106,19.61612637,66.34746796,15249
74,831567306,19.61453428,66.33979198,15249
75,831568106,19.49286098,66.48547043,15380
76,831568306,19.4997697,66.47524766,15380
77,831569106,19.39552267,66.62315764,15645
78,831570306,20.49337789,66.18810357,14991
79,831571306,20.36820906,66.32566532,15256
80,831572106,21.70354646,66.42319387,15403
81,831572306,21.72445314,66.40807649,15403
82,831577106,19.09492971,66.90645917,16041
83,831577306,19.10583808,66.8918432,15909
84,831579306,19.23775082,66.7622338,15777
85,831580106,21.35497449,66.84043121,15931
86,831580306,21.37351559,66.83062839,15931
87,831581106,21.23150445,66.98299432,16063
88,831581306,21.20705997,66.96722754,16063
89,831582106,21.51623905,66.70038508,15800
90,831582306,21.49565275,66.69705789,15666
91,831592106,20.33368246,67.14534994,16320
92,831593106,20.24991292,67.27428993,16452
93,831593306,20.24743204,67.26901822,16452
94,831595106,21.12457904,67.11528672,16328
95,831595306,21.14368515,67.1090023,16328
96,831596106,20.98580157,67.25151151,16459
97,831596306,21.00833197,67.24181476,16460
98,831597106,20.89289699,67.39031254,16591
99,831597306,20.89079027,67.38293481,16591
100,831606106,19.71311969,67.83312792,17245
101,831606306,19.71237603,67.81602096,17245
102,831608106,20.75225381,67.53825105,16856
103,831608306,20.74434993,67.52510139,16856
104,831609106,20.60717671,67.66843759,16988
105,831610106,22.19548473,67.61565863,17003
106,831610306,22.19103914,67.60414803,17003
107,831611106,22.05194743,67.75511039,17135
108,831611306,22.07474784,67.74333309,17135
109,831612106,21.98114818,67.90342016,17400
110,831612306,21.98572774,67.89001369,17267
111,831618106,21.82223927,68.04282725,17532
112,831618306,21.81237182,68.02471034,17532
113,832501106,12.46849798,61.69034333,8926
114,832501306,12.47197993,61.68661733,8926
115,832502106,14.12752422,61.67498006,8943
116,832502306,14.13745677,61.66838161,8943
117,832503106,14.37026609,61.72527325,9078
118,832503306,14.35539557,61.71336315,9078
119,832504106,12.70936887,61.74801142,9062
120,832504306,12.71351875,61.73522906,9062
121,832505106,12.9290221,61.79336059,9064
122,832505306,12.9296532,61.78567416,9064
123,832507106,12.65099412,62.1477498,9593
124,832507306,12.67027782,62.13285361,9593
125,832508106,13.16056657,61.841007,9199
126,832508306,13.15570675,61.82828993,9199
127,832509106,13.4171793,61.88768485,9202
128,832509306,13.4012271,61.87616935,9202
129,832510106,13.63728137,61.94943931,9337
130,832510306,13.64635094,61.92931011,9337
131,832513106,14.33021624,62.13124859,9610
132,832513306,14.34436215,62.11553518,9610
