"","original","calibrated"
"BA",9.48703032705615,4.55066928016801
"D",10.6665436625431,7.66602622712582
"N",1979.42454269276,1811.62987725222
"Ws",42.6982185018069,20.8635098278683
"Wf",7.50621885669988,7.8064429106106
"Wr",14.8308349485811,13.9831664071374
"soilC",85.4798107737744,83.5164581629069
